epoch,acc,loss,val_acc,val_loss
0,0.809375,0.476188537255,0.81,0.408535608053
1,0.893125,0.280092353821,0.88875,0.297964788377
2,0.92,0.20498402385,0.93,0.188659272939
3,0.93875,0.162225447288,0.924375,0.219930557534
4,0.9428125,0.146652811524,0.931875,0.197599033602
5,0.9521875,0.135915381052,0.934375,0.185272984877
6,0.9484375,0.12952887076,0.955,0.119137423392
7,0.954375,0.131091827955,0.953125,0.13930311311
8,0.955,0.101167197237,0.93125,0.210895298012
9,0.9621875,0.0957472853526,0.929375,0.226786009483
10,0.9684375,0.0847375771403,0.933125,0.223603781611
11,0.973125,0.0697810507612,0.96,0.106983921062
12,0.973125,0.0789233818324,0.951875,0.139487789962
13,0.9728125,0.0723752726382,0.953125,0.13378164514
14,0.974375,0.0685782209458,0.96125,0.11461042719
15,0.978125,0.0643625671137,0.96125,0.0997360136732
16,0.9790625,0.0609630734537,0.953125,0.147123494437
17,0.9775,0.0597987836297,0.90625,0.399415140413
18,0.9746875,0.0669991671015,0.959375,0.123791291954
19,0.9728125,0.0699774751067,0.96125,0.115232812588
20,0.9778125,0.0590179549693,0.95625,0.150777233597
21,0.9825,0.0535608804738,0.95125,0.165356248133
22,0.9784375,0.0491334487381,0.960625,0.117198672045
23,0.975625,0.0635493998835,0.943125,0.151971607693
24,0.97625,0.0605141486193,0.964375,0.0935911920806
25,0.9765625,0.0638190074835,0.964375,0.116811606032
26,0.9790625,0.0553144193254,0.97,0.0759443679266
27,0.983125,0.0425023646012,0.95375,0.137368299235
28,0.9846875,0.0508429789846,0.96125,0.129216383784
29,0.9825,0.0482910198648,0.97,0.0890165271331
30,0.985,0.0399467079737,0.976875,0.0659005466895
31,0.98,0.049322526711,0.974375,0.0738307703566
32,0.98125,0.047734511859,0.97,0.0852218778525
33,0.984375,0.0366318871558,0.958125,0.11069808091
34,0.981875,0.0463747764239,0.970625,0.0875116802752
35,0.9790625,0.0484881191934,0.976875,0.0757150613191
36,0.9853125,0.0345540642447,0.974375,0.0681815483584
37,0.981875,0.0449815334944,0.975,0.0717958641588
38,0.9821875,0.0481486849184,0.97875,0.0545299089386
39,0.983125,0.046272227267,0.964375,0.0879901715228
40,0.9846875,0.0397977982881,0.975625,0.0694037141307
41,0.9846875,0.0405711886717,0.97125,0.0875575319538
42,0.9871875,0.0335993769293,0.959375,0.134653159317
43,0.9825,0.0462013608334,0.96875,0.111208871074
44,0.9865625,0.0362520014995,0.97875,0.0617952553602
45,0.988125,0.0320277941035,0.96875,0.0873896681961
46,0.9878125,0.036876192668,0.978125,0.0589871053165
47,0.9865625,0.0348336192907,0.9825,0.0542418014491
48,0.988125,0.038131381541,0.959375,0.146942639928
49,0.99,0.0275221907027,0.963125,0.131710873704
50,0.9853125,0.0344142937439,0.9675,0.104434009618
51,0.9884375,0.0275857065059,0.953125,0.160525229163
52,0.989375,0.0248516364396,0.96875,0.0873007477168
53,0.9878125,0.0371146428518,0.971875,0.0778502253318
54,0.9865625,0.0346584162337,0.973125,0.0774095350248
55,0.9871875,0.0302048272715,0.96125,0.157584851685
56,0.99125,0.0281872569397,0.9825,0.0568007533497
57,0.9890625,0.0299066751974,0.98,0.0580708863703
58,0.98875,0.0329195970192,0.980625,0.0496493619581
59,0.989375,0.0264635721815,0.97125,0.0901328723656
60,0.9921875,0.0228019347016,0.95125,0.151983545898
61,0.98875,0.0273765711195,0.979375,0.0612330305166
62,0.990625,0.0294665411022,0.975625,0.062210577107
63,0.990625,0.0228831810795,0.98125,0.0490182970418
64,0.9940625,0.0159163532915,0.97375,0.071055835291
65,0.9865625,0.0315034596616,0.95375,0.155559519315
66,0.9890625,0.0259180834668,0.9675,0.104468823071
67,0.991875,0.0230227258051,0.976875,0.0586591052078
68,0.9903125,0.0251714980575,0.971875,0.0963481979119
69,0.9896875,0.0309908280883,0.974375,0.0803742547857
70,0.98875,0.0317253028014,0.981875,0.0615674626012
71,0.9878125,0.0292657219846,0.974375,0.066162009344
72,0.9884375,0.0311174855335,0.9775,0.0796732839057
73,0.9903125,0.0242077394685,0.959375,0.16157091277
74,0.99125,0.0273183042306,0.98,0.0623594758671
75,0.991875,0.0193776819221,0.97125,0.10161368341
76,0.99,0.0297114886262,0.961875,0.100120295775
77,0.9903125,0.0235245670327,0.981875,0.0421470836742
78,0.991875,0.0219391536711,0.93125,0.239956344739
79,0.99125,0.0233003374041,0.97375,0.0645492938836
80,0.9871875,0.0363732141966,0.95625,0.138250700356
81,0.989375,0.0265771887219,0.98,0.0715817718836
82,0.99125,0.024822177891,0.985,0.0458471304085
83,0.9921875,0.0184419398991,0.9825,0.048317143849
84,0.990625,0.022137498747,0.984375,0.0476651243831
85,0.9934375,0.0197018793895,0.96875,0.0948291942396
86,0.9915625,0.0223998196344,0.965625,0.105588144546
87,0.991875,0.0180278077142,0.98,0.0627195963636
88,0.99125,0.0240427817445,0.979375,0.0555619389378
89,0.9925,0.0236750525777,0.975,0.0824508214183
90,0.9915625,0.0267991065144,0.970625,0.0808690265031
91,0.9871875,0.0350504385878,0.980625,0.0508493014472
92,0.991875,0.0237048273551,0.97875,0.0557137588714
93,0.9925,0.0227924203797,0.97125,0.0971537065262
94,0.9946875,0.0170437973825,0.973125,0.0656666714628
95,0.990625,0.0236571823045,0.976875,0.0809228313214
96,0.990625,0.0251282617824,0.97875,0.0605341000832
97,0.9896875,0.025513345529,0.988125,0.0453537363897
98,0.99375,0.0217186960558,0.979375,0.0546153755061
99,0.9934375,0.0177791354054,0.9775,0.0633068780007
